Frame,Rebuild_Waterfall(ms),Normalization(ms),RGB_Mapping(ms),Pre_Processing(ms),Inference(ms),Post_Processing(ms),Copy_To_CPU(ms),Drawing(ms),Prefetch_Wait(ms),Submit_Memcpy(ms),Submit_Total(ms),Total_Time(ms)
62,0.000,0.000,0.000,0.076,12.409,0.085,0.127,0.294,0.078,1.097,1.607,14.838
63,0.000,0.000,0.000,0.069,14.059,0.139,0.189,0.291,0.052,0.781,1.223,16.105
64,0.000,0.000,0.000,0.101,12.404,0.095,0.133,0.250,0.065,0.859,1.453,14.667
65,0.000,0.000,0.000,0.073,12.458,0.092,0.139,0.300,0.058,0.823,1.348,14.569
66,0.000,0.000,0.000,0.074,13.294,0.092,0.132,0.387,0.061,0.893,1.395,15.521
67,0.000,0.000,0.000,0.106,12.379,0.043,0.154,0.205,0.060,1.275,1.802,14.845
68,0.000,0.000,0.000,0.102,15.243,0.137,0.343,0.396,0.057,1.318,2.162,18.577
69,0.000,0.000,0.000,0.182,12.927,0.124,0.146,0.372,0.061,0.853,1.400,15.382
70,0.000,0.000,0.000,0.270,12.869,0.100,0.136,0.371,0.063,0.874,1.412,15.324
71,0.000,0.000,0.000,0.089,14.390,0.094,0.132,0.440,0.095,1.046,1.763,17.121
72,0.000,0.000,0.000,0.075,14.265,0.110,0.141,0.608,0.073,1.239,1.878,17.248
73,0.000,0.000,0.000,0.169,13.565,0.105,0.153,0.331,0.084,1.291,1.869,16.455
74,0.000,0.000,0.000,0.076,12.931,0.090,0.128,0.357,0.073,1.081,1.734,15.561
75,0.000,0.000,0.000,0.069,12.090,0.098,0.135,0.408,0.057,0.792,1.258,14.196
76,0.000,0.000,0.000,0.079,12.338,0.091,0.133,0.380,0.062,0.815,1.369,14.536
77,0.000,0.000,0.000,0.078,13.439,0.048,0.169,0.215,0.055,0.756,1.250,15.331
78,0.000,0.000,0.000,0.108,13.169,0.096,0.144,0.337,0.064,1.060,1.600,15.647
79,0.000,0.000,0.000,0.082,12.837,0.103,0.138,0.469,0.072,0.933,1.527,15.400
80,0.000,0.000,0.000,0.074,13.325,0.138,0.155,0.339,0.062,1.186,1.743,15.929
81,0.000,0.000,0.000,0.105,13.482,0.145,0.199,0.487,0.066,1.127,2.012,16.672
82,0.000,0.000,0.000,0.127,13.668,0.093,0.132,0.321,0.080,1.203,2.023,16.562
83,0.000,0.000,0.000,0.075,13.308,0.093,0.139,0.374,0.086,0.812,1.337,15.498
84,0.000,0.000,0.000,0.084,14.114,0.142,0.190,0.321,0.099,1.196,1.862,16.964
85,0.000,0.000,0.000,0.076,12.484,0.094,0.137,0.395,0.125,1.090,1.956,15.434
86,0.000,0.000,0.000,0.178,13.511,0.102,0.135,0.360,0.073,1.073,1.599,16.179
87,0.000,0.000,0.000,0.075,14.174,0.143,0.178,0.592,0.080,0.800,1.349,16.724
88,0.000,0.000,0.000,0.079,14.278,0.137,0.163,0.351,0.063,0.809,1.324,16.562
89,0.000,0.000,0.000,0.070,12.298,0.086,0.130,0.251,0.057,0.837,1.330,14.357
90,0.000,0.000,0.000,0.123,13.107,0.094,0.146,0.267,0.129,1.267,2.106,16.275
91,0.000,0.000,0.000,0.074,13.397,0.117,0.134,0.368,0.060,0.890,1.471,15.712
92,0.000,0.000,0.000,0.071,15.159,0.043,0.149,0.212,0.060,1.114,1.603,17.380
93,0.000,0.000,0.000,0.109,13.802,0.103,0.151,0.264,0.056,1.213,1.938,16.508
94,0.000,0.000,0.000,0.226,12.444,0.084,0.134,0.257,0.059,1.168,1.805,15.171
95,0.000,0.000,0.000,0.112,12.255,0.083,0.127,0.248,0.059,1.196,1.834,14.798
96,0.000,0.000,0.000,0.071,12.106,0.043,0.152,0.213,0.052,1.160,1.630,14.345
97,0.000,0.000,0.000,0.110,12.833,0.105,0.140,0.374,0.087,1.214,1.910,15.688
98,0.000,0.000,0.000,0.090,12.906,0.107,0.155,0.407,0.064,1.087,1.648,15.469
99,0.000,0.000,0.000,0.089,12.913,0.105,0.148,0.452,0.064,0.907,1.454,15.469
100,0.000,0.000,0.000,0.154,14.018,0.155,0.208,0.315,0.080,1.168,1.764,16.871
101,0.000,0.000,0.000,0.102,13.028,0.144,0.150,0.428,0.059,0.878,1.455,15.534
102,0.000,0.000,0.000,0.089,14.439,0.107,0.135,0.392,0.056,1.165,1.973,17.309
103,0.000,0.000,0.000,0.089,15.467,0.121,0.164,0.285,0.072,1.180,1.736,18.032
104,0.000,0.000,0.000,0.072,14.151,0.122,0.139,0.331,0.213,0.816,1.309,16.432
105,0.000,0.000,0.000,0.065,13.577,0.138,0.263,0.423,0.049,0.764,1.161,15.780
106,0.000,0.000,0.000,0.086,15.244,0.157,0.167,0.405,0.060,1.162,1.740,18.042
107,0.000,0.000,0.000,0.081,15.509,0.167,0.163,0.762,0.095,1.302,1.912,18.883
108,0.000,0.000,0.000,0.081,13.402,0.090,0.148,0.369,0.313,1.009,1.536,16.192
109,0.000,0.000,0.000,0.090,12.345,0.111,0.136,0.350,0.078,0.876,1.400,14.676
110,0.000,0.000,0.000,0.079,14.125,0.147,0.195,0.372,0.052,0.845,1.343,16.392
111,0.000,0.000,0.000,0.083,14.160,0.120,0.185,0.332,0.075,1.252,1.863,16.928
112,0.000,0.000,0.000,0.092,13.205,0.124,0.164,0.348,0.064,0.886,1.396,15.496
113,0.000,0.000,0.000,0.103,12.973,0.097,0.125,0.429,0.062,1.179,1.803,15.686
114,0.000,0.000,0.000,0.164,12.808,0.098,0.133,0.354,0.061,0.967,1.477,15.305
115,0.000,0.000,0.000,0.111,14.216,0.145,0.181,0.386,0.142,1.240,2.017,17.440
116,0.000,0.000,0.000,0.084,12.645,0.090,0.127,0.334,0.070,1.132,1.736,15.185
117,0.000,0.000,0.000,0.072,13.736,0.094,0.136,0.386,0.053,0.742,1.198,15.760
118,0.000,0.000,0.000,0.069,13.274,0.088,0.130,0.350,0.059,0.895,1.350,15.417
119,0.000,0.000,0.000,0.071,14.456,0.089,0.132,0.298,0.122,1.168,1.647,16.911
120,0.000,0.000,0.000,0.098,14.004,0.089,0.166,0.457,0.069,1.108,1.653,16.630
121,0.000,0.000,0.000,0.077,12.161,0.083,0.132,0.369,0.057,0.788,1.262,14.236
122,0.000,0.000,0.000,0.079,12.879,0.097,0.142,0.420,0.046,1.204,1.743,15.585
123,0.000,0.000,0.000,0.082,12.809,0.097,0.135,0.358,0.189,1.212,1.748,15.509
124,0.000,0.000,0.000,0.097,15.335,0.088,0.135,0.406,0.184,0.872,1.433,17.809
125,0.000,0.000,0.000,0.077,12.634,0.099,0.146,0.246,0.060,1.174,1.721,15.067
126,0.000,0.000,0.000,0.076,12.492,0.097,0.146,0.406,0.058,0.913,1.459,14.820
127,0.000,0.000,0.000,0.081,12.319,0.084,0.140,4.763,0.207,0.902,1.446,19.150
128,0.000,0.000,0.000,0.116,12.321,0.085,0.130,0.337,0.105,1.150,1.884,15.211
129,0.000,0.000,0.000,0.072,13.825,0.100,0.138,0.351,0.057,0.779,1.295,15.982
130,0.000,0.000,0.000,0.074,13.164,0.121,0.157,0.344,0.059,1.157,1.651,15.675
131,0.000,0.000,0.000,0.153,14.643,0.098,0.139,0.290,0.069,0.824,1.405,16.946
132,0.000,0.000,0.000,0.094,14.237,0.063,0.189,0.191,0.073,1.158,1.745,16.696
133,0.000,0.000,0.000,0.081,13.541,0.093,0.130,0.410,0.054,0.957,1.437,15.826
134,0.000,0.000,0.000,0.086,14.216,0.086,0.136,0.364,0.145,0.796,1.287,16.410
135,0.000,0.000,0.000,0.071,17.904,0.333,0.179,0.374,0.057,1.086,1.567,20.588
136,0.000,0.000,0.000,0.074,14.124,0.174,0.223,0.284,0.054,0.815,1.377,16.401
137,0.000,0.000,0.000,0.081,14.241,0.099,0.137,0.612,0.060,0.825,1.296,16.609
138,0.000,0.000,0.000,0.074,13.829,0.136,0.135,0.374,0.060,0.956,1.479,16.186
139,0.000,0.000,0.000,0.073,13.791,0.092,0.136,0.339,0.059,0.807,1.289,15.865
140,0.000,0.000,0.000,0.084,16.199,0.161,0.185,0.536,0.099,0.923,1.489,18.925
141,0.000,0.000,0.000,0.076,13.518,0.090,0.133,0.340,0.062,1.322,1.858,16.162
142,0.000,0.000,0.000,0.071,13.776,0.111,0.139,0.451,0.062,1.011,1.474,16.170
143,0.000,0.000,0.000,0.096,13.616,0.170,0.204,0.624,0.065,1.158,1.852,16.723
144,0.000,0.000,0.000,0.096,13.933,0.087,0.129,0.346,0.083,1.140,1.812,16.692
145,0.000,0.000,0.000,0.143,16.560,0.118,0.133,0.484,0.077,1.126,1.731,19.348
146,0.000,0.000,0.000,0.074,14.049,0.105,0.143,0.345,0.068,1.263,2.079,17.023
147,0.000,0.000,0.000,0.087,13.317,0.093,0.136,0.379,0.060,0.859,1.462,15.639
148,0.000,0.000,0.000,0.079,13.969,0.102,0.176,0.416,0.062,0.852,1.377,16.288
149,0.000,0.000,0.000,0.083,13.956,0.099,0.133,0.428,0.074,0.799,1.319,16.189
150,0.000,0.000,0.000,0.119,14.327,0.174,0.184,0.310,0.060,1.213,1.889,17.152
151,0.000,0.000,0.000,0.186,14.035,0.152,0.176,0.365,0.063,0.868,1.422,16.572
152,0.000,0.000,0.000,0.168,15.829,0.188,0.182,0.394,0.063,0.917,1.464,18.464
153,0.000,0.000,0.000,0.120,15.149,0.105,0.145,0.393,0.065,1.226,1.949,18.079
154,0.000,0.000,0.000,0.109,14.682,0.101,0.127,0.328,0.065,1.069,1.692,17.235
155,0.000,0.000,0.000,0.112,14.160,0.107,0.132,0.338,0.060,1.152,1.854,16.884
156,0.000,0.000,0.000,0.137,15.578,0.134,0.301,0.408,0.059,1.519,2.041,18.773
157,0.000,0.000,0.000,0.095,13.893,0.049,0.158,0.215,0.096,1.288,2.019,16.681
158,0.000,0.000,0.000,0.074,13.398,0.083,0.145,0.317,0.076,0.811,1.312,15.506
159,0.000,0.000,0.000,0.096,13.608,0.079,0.120,0.339,0.067,0.840,1.465,15.951
160,0.000,0.000,0.000,0.216,13.699,0.102,0.146,0.344,0.051,0.868,1.370,16.054
161,0.000,0.000,0.000,0.078,13.688,0.090,0.203,0.335,0.050,0.987,1.503,16.030
162,0.000,0.000,0.000,0.110,16.039,0.159,0.205,0.494,0.067,1.067,1.747,18.920
163,0.000,0.000,0.000,0.129,14.207,0.087,0.155,0.273,0.112,1.238,1.904,17.099
164,0.000,0.000,0.000,0.084,14.792,0.101,0.153,0.297,0.066,0.809,1.335,16.932
165,0.000,0.000,0.000,0.125,13.312,0.088,0.133,0.354,0.091,1.425,2.170,16.400
166,0.000,0.000,0.000,0.079,15.191,0.154,0.151,0.440,0.065,1.368,1.921,18.180
167,0.000,0.000,0.000,0.077,14.638,0.148,0.178,0.384,0.061,1.062,1.614,17.205
168,0.000,0.000,0.000,0.119,15.966,0.149,0.173,0.409,0.054,0.776,1.295,18.326
169,0.000,0.000,0.000,0.085,13.916,0.106,0.143,0.330,0.058,1.134,1.742,16.470
170,0.000,0.000,0.000,0.164,14.268,0.099,0.137,0.462,0.073,0.837,1.350,16.745
171,0.000,0.000,0.000,0.170,13.964,0.101,0.137,0.390,0.070,1.018,1.745,16.752
172,0.000,0.000,0.000,0.107,14.544,0.449,0.175,0.462,0.080,1.189,1.900,17.871
173,0.000,0.000,0.000,0.075,15.442,0.127,0.167,2.146,0.060,0.778,1.251,19.418
174,0.000,0.000,0.000,0.098,13.500,0.087,0.131,0.284,0.195,0.834,1.384,15.862
175,0.000,0.000,0.000,0.077,14.921,0.092,0.135,0.325,0.060,0.811,1.334,17.058
176,0.000,0.000,0.000,0.078,14.259,0.102,0.161,0.511,0.058,0.887,1.433,16.694
177,0.000,0.000,0.000,0.073,13.642,0.084,0.140,0.299,0.061,0.845,1.319,15.805
178,0.000,0.000,0.000,0.118,15.105,0.095,0.135,0.332,0.101,0.842,1.689,17.844
179,0.000,0.000,0.000,0.078,15.707,0.188,0.181,0.360,0.062,0.809,1.298,17.964
180,0.000,0.000,0.000,0.094,14.837,0.087,0.128,0.374,0.089,1.128,1.727,17.456
181,0.000,0.000,0.000,0.205,13.925,0.142,0.168,0.529,0.052,1.175,1.917,17.091
182,0.000,0.000,0.000,0.078,16.730,0.100,0.133,0.387,0.068,0.850,1.361,18.955
183,0.000,0.000,0.000,0.085,13.856,0.145,0.198,0.444,0.107,0.807,1.414,16.398
184,0.000,0.000,0.000,0.093,14.172,0.129,0.141,0.323,0.186,0.829,1.335,16.522
185,0.000,0.000,0.000,0.078,13.359,0.123,0.137,0.380,0.082,0.848,1.381,15.623
186,0.000,0.000,0.000,0.073,14.375,0.108,0.152,0.328,0.057,1.232,1.737,16.914
187,0.000,0.000,0.000,0.095,13.363,0.085,0.133,0.400,0.066,1.118,1.704,15.939
188,0.000,0.000,0.000,0.082,13.730,0.100,0.152,0.330,0.061,0.859,1.330,15.871
189,0.000,0.000,0.000,0.081,13.222,0.085,0.121,0.298,0.059,1.168,1.647,15.594
190,0.000,0.000,0.000,0.090,16.297,0.193,0.190,0.409,0.113,1.136,2.084,19.700
191,0.000,0.000,0.000,0.077,14.239,0.218,0.193,0.612,0.055,0.851,1.383,16.937
192,0.000,0.000,0.000,0.118,16.502,0.077,0.209,0.375,0.067,0.854,1.850,19.397
193,0.000,0.000,0.000,0.113,13.553,0.097,0.159,0.320,0.099,1.142,1.766,16.306
194,0.000,0.000,0.000,0.075,16.245,0.144,0.207,0.347,0.093,0.831,1.354,18.564
195,0.000,0.000,0.000,0.087,13.681,0.190,0.181,0.439,0.066,0.864,1.408,16.151
196,0.000,0.000,0.000,0.073,13.770,0.141,0.179,0.432,0.078,0.987,1.511,16.324
197,0.000,0.000,0.000,0.095,14.135,0.085,0.132,0.430,0.066,1.144,1.658,16.709
198,0.000,0.000,0.000,0.165,13.138,0.088,0.134,0.334,0.067,1.166,1.719,15.763
199,0.000,0.000,0.000,0.097,13.199,0.093,0.127,0.367,0.057,1.058,1.544,15.564
200,0.000,0.000,0.000,0.085,13.131,0.095,0.131,0.378,0.092,0.817,1.310,15.310
201,0.000,0.000,0.000,0.082,12.942,0.173,0.171,0.473,0.072,1.183,1.699,15.711
202,0.000,0.000,0.000,0.077,11.837,0.095,0.150,0.324,0.056,0.789,1.254,13.952
203,0.000,0.000,0.000,0.079,11.695,0.095,0.128,0.678,0.062,1.186,1.720,14.546
204,0.000,0.000,0.000,0.089,12.209,0.091,0.123,0.333,0.058,0.886,1.390,14.393
205,0.000,0.000,0.000,0.087,12.770,0.103,0.135,0.350,0.049,0.923,1.457,15.050
206,0.000,0.000,0.000,0.088,14.710,0.185,0.193,0.389,0.062,0.839,1.351,17.077
207,0.000,0.000,0.000,0.166,13.200,0.094,0.136,0.391,0.073,0.862,1.386,15.615
208,0.000,0.000,0.000,0.080,12.951,0.130,0.174,0.326,0.062,0.922,1.483,15.295
209,0.000,0.000,0.000,0.071,12.904,0.090,0.123,0.448,0.055,0.791,1.296,15.173
210,0.000,0.000,0.000,0.073,12.289,0.090,0.131,0.301,0.063,1.198,1.893,15.057
211,0.000,0.000,0.000,0.085,12.614,0.098,0.138,0.408,0.063,0.974,1.455,14.949
212,0.000,0.000,0.000,0.080,13.711,0.095,0.138,0.355,0.059,0.819,1.319,15.861
213,0.000,0.000,0.000,0.100,15.808,0.131,0.147,0.366,0.052,1.158,1.866,18.613
214,0.000,0.000,0.000,0.091,13.969,0.133,0.174,0.420,0.061,0.962,1.488,16.433
215,0.000,0.000,0.000,0.118,12.210,0.088,0.129,0.328,0.061,1.160,2.091,15.135
216,0.000,0.000,0.000,0.073,13.372,0.115,0.148,0.392,0.057,0.727,1.171,15.411
217,0.000,0.000,0.000,0.089,13.198,0.091,0.127,0.333,0.122,1.222,1.817,15.936
218,0.000,0.000,0.000,0.068,12.686,0.103,0.128,0.341,0.062,0.910,1.356,14.830
219,0.000,0.000,0.000,0.103,14.201,0.099,0.142,0.320,0.093,1.378,2.058,17.117
220,0.000,0.000,0.000,0.084,14.668,0.181,0.173,0.418,0.064,0.983,1.468,17.145
221,0.000,0.000,0.000,0.078,14.354,0.129,0.181,0.422,0.066,0.822,1.345,16.760
222,0.000,0.000,0.000,0.089,13.706,0.131,0.156,0.392,0.195,1.038,1.587,16.427
223,0.000,0.000,0.000,0.067,12.996,0.090,0.137,0.501,0.073,0.915,1.352,15.367
224,0.000,0.000,0.000,0.146,12.809,0.107,0.167,0.378,0.068,0.891,1.471,15.343
225,0.000,0.000,0.000,0.077,12.846,0.123,0.143,0.344,0.064,1.432,1.980,15.669
226,0.000,0.000,0.000,0.070,12.395,0.043,0.143,0.218,0.059,1.188,1.663,14.672
227,0.000,0.000,0.000,0.071,14.841,0.205,0.180,0.268,0.056,0.996,1.493,17.223
228,0.000,0.000,0.000,0.103,13.033,0.092,0.143,0.269,0.092,1.129,1.776,15.650
229,0.000,0.000,0.000,0.080,12.781,0.087,0.137,0.351,0.083,0.996,1.516,15.118
230,0.000,0.000,0.000,0.091,12.593,0.110,0.297,0.339,0.081,0.860,1.446,15.108
231,0.000,0.000,0.000,0.078,12.488,0.088,0.140,0.383,0.192,1.244,1.780,15.228
232,0.000,0.000,0.000,0.073,13.405,0.156,0.186,0.431,0.106,0.802,1.257,15.699
233,0.000,0.000,0.000,0.073,12.875,0.104,0.150,0.473,0.069,0.825,1.560,15.412
234,0.000,0.000,0.000,0.079,12.722,0.130,0.196,0.312,0.060,0.958,1.417,15.003
235,0.000,0.000,0.000,0.066,12.776,0.103,0.143,0.364,0.053,0.970,1.413,15.070
236,0.000,0.000,0.000,0.134,14.195,0.140,0.186,0.421,0.115,1.178,1.810,17.176
237,0.000,0.000,0.000,0.156,13.962,0.118,0.331,0.585,0.060,1.171,1.712,17.094
238,0.000,0.000,0.000,0.099,14.688,0.096,0.124,0.381,0.092,0.839,1.402,17.085
239,0.000,0.000,0.000,0.076,13.600,0.044,0.149,0.202,0.060,1.136,1.608,15.823
240,0.000,0.000,0.000,0.090,14.798,0.119,0.142,0.323,0.159,0.815,1.371,17.212
241,0.000,0.000,0.000,0.078,13.959,0.089,0.122,0.393,0.059,0.843,1.354,16.137
242,0.000,0.000,0.000,0.094,13.698,0.094,0.164,0.390,0.055,1.379,1.916,16.495
243,0.000,0.000,0.000,0.329,14.170,0.096,0.125,0.362,0.057,1.175,1.726,17.020
244,0.000,0.000,0.000,0.081,14.089,0.097,0.136,0.305,0.060,0.861,1.328,16.196
245,0.000,0.000,0.000,0.101,15.030,0.108,0.135,0.403,0.059,0.817,1.342,17.291
246,0.000,0.000,0.000,0.084,14.069,0.095,0.232,0.375,0.076,0.993,1.558,16.592
247,0.000,0.000,0.000,0.086,13.490,0.106,0.166,0.339,0.090,0.901,1.505,15.907
248,0.000,0.000,0.000,0.093,14.154,0.114,0.160,0.355,0.062,1.057,1.602,16.623
249,0.000,0.000,0.000,0.080,15.439,0.128,0.154,0.454,0.064,0.900,1.467,17.891
250,0.000,0.000,0.000,0.077,13.351,0.042,0.154,0.205,0.069,0.867,1.397,15.406
251,0.000,0.000,0.000,0.150,13.253,0.093,0.172,0.349,0.055,1.020,1.759,15.924
252,0.000,0.000,0.000,0.077,14.124,0.138,0.133,0.313,0.091,1.319,1.871,16.834
253,0.000,0.000,0.000,0.064,13.143,0.098,0.151,0.344,0.045,0.763,1.175,15.092
254,0.000,0.000,0.000,0.087,13.899,0.199,0.172,0.498,0.112,1.330,1.946,17.186
255,0.000,0.000,0.000,0.160,15.466,0.135,0.196,0.389,0.076,1.218,1.753,18.353
256,0.000,0.000,0.000,0.106,13.692,0.099,0.167,0.368,0.083,1.258,2.057,16.703
257,0.000,0.000,0.000,0.076,11.825,0.043,0.285,0.207,0.064,0.869,1.365,13.956
258,0.000,0.000,0.000,0.240,12.742,0.094,0.154,0.359,0.086,1.147,1.759,15.797
259,0.000,0.000,0.000,0.069,13.133,0.091,0.133,0.366,0.061,0.802,1.310,15.247
260,0.000,0.000,0.000,0.076,13.098,0.212,0.217,0.331,0.121,0.778,1.215,15.353
261,0.000,0.000,0.000,0.155,13.097,0.103,0.133,0.370,0.059,0.962,1.483,15.581
262,0.000,0.000,0.000,0.091,13.354,0.087,0.145,0.314,0.064,1.230,1.723,15.867
263,0.000,0.000,0.000,0.094,13.612,0.178,0.177,0.466,0.058,1.176,1.845,16.578
