Frame,Rebuild_Waterfall(ms),Normalization(ms),RGB_Mapping(ms),Pre_Processing(ms),Inference(ms),Post_Processing(ms),Copy_To_CPU(ms),Drawing(ms),Prefetch_Wait(ms),Submit_Memcpy(ms),Submit_Total(ms),Total_Time(ms)
264,0.000,0.000,0.000,0.071,12.549,0.103,0.159,0.387,0.066,0.832,1.324,14.748
265,0.000,0.000,0.000,0.073,13.056,0.047,0.160,0.205,0.060,0.838,1.324,15.008
266,0.000,0.000,0.000,0.079,12.440,0.087,0.125,0.389,0.059,0.826,1.305,14.599
267,0.000,0.000,0.000,0.170,13.745,0.106,0.143,0.374,0.064,0.754,1.285,16.042
268,0.000,0.000,0.000,0.076,13.001,0.093,0.140,0.412,0.056,0.812,1.301,15.170
269,0.000,0.000,0.000,0.101,13.498,0.167,0.185,0.457,0.059,1.192,1.926,16.515
270,0.000,0.000,0.000,0.083,14.226,0.104,0.138,0.388,0.070,1.324,1.925,17.136
271,0.000,0.000,0.000,0.077,12.891,0.090,0.137,0.384,0.066,0.839,1.408,15.259
272,0.000,0.000,0.000,0.067,14.468,0.178,0.198,0.413,0.069,1.026,1.462,16.935
273,0.000,0.000,0.000,0.071,13.460,0.100,0.132,0.367,0.069,0.902,1.375,15.661
274,0.000,0.000,0.000,0.159,14.244,0.158,0.189,0.384,0.057,1.007,1.520,16.827
275,0.000,0.000,0.000,0.074,14.098,0.120,0.174,0.397,0.058,0.817,1.324,16.415
276,0.000,0.000,0.000,0.091,13.136,0.102,0.138,0.373,0.103,1.027,1.564,15.612
277,0.000,0.000,0.000,0.107,12.727,0.089,0.137,0.327,0.062,1.221,1.899,15.548
278,0.000,0.000,0.000,0.121,15.160,0.158,0.214,0.475,0.188,1.405,2.185,18.622
279,0.000,0.000,0.000,0.139,14.329,0.137,0.273,0.462,0.074,1.112,1.974,17.605
280,0.000,0.000,0.000,0.084,12.771,0.094,0.137,0.337,0.065,0.868,1.406,15.025
281,0.000,0.000,0.000,0.069,14.124,0.102,0.165,0.373,0.096,1.258,2.027,17.126
282,0.000,0.000,0.000,0.076,12.070,0.115,0.158,0.389,0.160,0.813,1.273,14.328
283,0.000,0.000,0.000,0.073,12.435,0.086,0.144,0.381,0.064,0.895,1.413,14.689
284,0.000,0.000,0.000,0.087,11.954,0.088,0.128,0.368,0.064,1.145,1.694,14.468
285,0.000,0.000,0.000,0.082,13.206,0.100,0.154,0.322,0.056,0.809,1.254,15.253
286,0.000,0.000,0.000,0.074,12.546,0.086,0.141,0.375,0.063,0.808,1.301,14.668
287,0.000,0.000,0.000,0.083,11.924,0.085,0.138,0.362,0.062,0.890,1.390,14.162
288,0.000,0.000,0.000,0.092,12.949,0.093,0.134,0.391,0.052,0.821,1.339,15.149
289,0.000,0.000,0.000,0.109,14.756,0.130,0.165,0.323,0.087,1.273,2.012,17.754
290,0.000,0.000,0.000,0.074,11.943,0.140,0.153,0.452,0.066,0.790,1.286,14.200
291,0.000,0.000,0.000,0.103,12.855,0.090,0.135,0.337,0.084,1.206,1.711,15.438
292,0.000,0.000,0.000,0.091,13.726,0.137,0.216,0.329,0.077,1.019,1.539,16.204
293,0.000,0.000,0.000,0.091,12.533,0.085,0.134,0.287,0.065,1.162,1.870,15.194
294,0.000,0.000,0.000,0.110,13.283,0.091,0.122,0.332,0.070,1.249,1.860,16.079
295,0.000,0.000,0.000,0.095,14.285,0.091,0.131,0.300,0.059,1.047,1.572,16.646
296,0.000,0.000,0.000,0.093,14.780,0.143,0.204,0.403,0.062,0.892,1.421,17.201
297,0.000,0.000,0.000,0.208,14.046,0.095,0.148,0.285,0.068,1.027,1.569,16.509
298,0.000,0.000,0.000,0.102,15.315,0.071,0.175,0.217,0.057,1.127,1.632,17.656
299,0.000,0.000,0.000,0.091,13.789,0.051,0.177,0.254,0.058,1.014,1.576,16.079
300,0.000,0.000,0.000,0.104,13.942,0.093,0.212,0.422,0.064,0.796,1.879,16.806
301,0.000,0.000,0.000,0.246,13.714,0.251,0.234,0.446,0.064,0.821,1.340,16.467
302,0.000,0.000,0.000,0.089,14.301,0.101,0.140,0.341,0.073,1.433,2.024,17.244
303,0.000,0.000,0.000,0.093,14.818,0.195,0.190,0.352,0.058,0.816,1.311,17.105
304,0.000,0.000,0.000,0.094,15.814,0.165,0.193,0.455,0.064,0.900,1.412,18.400
305,0.000,0.000,0.000,0.343,14.859,0.147,0.171,0.481,0.063,1.058,1.964,18.365
306,0.000,0.000,0.000,0.086,13.812,0.095,0.167,0.384,0.072,1.169,1.774,16.496
307,0.000,0.000,0.000,0.099,14.052,0.108,0.196,0.445,0.083,1.232,1.833,16.983
308,0.000,0.000,0.000,0.085,14.868,0.079,0.229,0.290,0.132,0.867,1.385,17.181
309,0.000,0.000,0.000,0.075,13.838,0.100,0.154,0.360,0.093,0.919,1.455,16.260
310,0.000,0.000,0.000,0.106,13.749,0.093,0.135,0.369,0.093,1.051,1.727,16.398
311,0.000,0.000,0.000,0.077,13.998,0.172,0.201,0.386,0.060,0.824,1.323,16.325
312,0.000,0.000,0.000,0.080,13.456,0.090,0.142,0.320,0.071,0.889,1.433,15.696
313,0.000,0.000,0.000,0.073,14.641,0.116,0.153,0.348,0.065,0.820,1.304,16.813
314,0.000,0.000,0.000,0.094,14.073,0.131,0.180,0.477,0.068,1.244,1.796,16.917
315,0.000,0.000,0.000,0.083,13.825,0.098,0.144,0.402,0.063,0.836,1.346,16.051
316,0.000,0.000,0.000,0.075,13.623,0.090,0.160,0.351,0.088,0.950,1.441,15.947
317,0.000,0.000,0.000,0.086,13.297,0.081,0.157,0.431,0.052,1.043,1.542,15.724
318,0.000,0.000,0.000,0.131,16.059,0.119,0.159,0.350,0.077,1.157,1.836,18.881
319,0.000,0.000,0.000,0.079,15.334,0.109,0.151,0.535,0.129,1.206,1.831,18.259
320,0.000,0.000,0.000,0.088,13.339,0.088,0.137,0.353,0.082,0.819,1.358,15.551
321,0.000,0.000,0.000,0.069,12.697,0.085,0.133,0.335,0.052,0.829,1.376,14.838
322,0.000,0.000,0.000,0.074,14.090,0.098,0.147,0.373,0.077,1.451,1.964,16.936
323,0.000,0.000,0.000,0.098,14.441,0.116,0.177,0.390,0.083,1.225,1.972,17.394
324,0.000,0.000,0.000,0.078,13.522,0.051,0.190,0.314,0.062,0.858,1.392,15.710
325,0.000,0.000,0.000,0.104,15.118,0.109,0.155,0.359,0.071,1.041,1.757,17.793
326,0.000,0.000,0.000,0.082,14.175,0.111,0.137,0.294,0.077,1.186,1.952,16.932
327,0.000,0.000,0.000,0.091,13.470,0.086,0.151,0.276,0.058,0.823,1.330,15.573
328,0.000,0.000,0.000,0.074,15.360,0.145,0.193,0.245,0.063,0.821,1.263,17.428
329,0.000,0.000,0.000,0.082,14.330,0.116,0.137,0.360,0.066,0.896,1.443,16.629
330,0.000,0.000,0.000,0.087,13.896,0.095,0.170,0.317,0.062,0.954,1.481,16.211
331,0.000,0.000,0.000,0.085,13.743,0.090,0.125,0.375,0.056,1.249,1.971,16.560
332,0.000,0.000,0.000,0.103,13.725,0.093,0.127,0.316,0.158,0.829,1.340,15.945
333,0.000,0.000,0.000,0.077,14.357,0.085,0.155,0.285,0.058,0.906,1.590,16.719
334,0.000,0.000,0.000,0.076,15.156,0.099,0.138,0.337,0.077,1.189,2.017,18.007
335,0.000,0.000,0.000,0.089,13.605,0.097,0.169,0.345,0.077,1.120,1.755,16.246
336,0.000,0.000,0.000,0.105,14.734,0.102,0.158,0.439,0.059,1.274,1.981,17.703
337,0.000,0.000,0.000,0.091,13.814,0.100,0.139,0.476,0.177,1.329,1.963,16.854
338,0.000,0.000,0.000,0.082,14.286,0.330,0.248,0.589,0.062,0.824,1.303,17.006
339,0.000,0.000,0.000,0.079,15.187,0.181,0.189,0.382,0.098,1.296,1.907,18.155
340,0.000,0.000,0.000,0.111,14.104,0.090,0.150,0.369,0.059,1.312,2.106,17.191
341,0.000,0.000,0.000,0.075,17.209,0.160,0.181,0.486,0.065,0.856,1.333,19.595
342,0.000,0.000,0.000,0.112,14.183,0.123,0.164,0.304,0.064,1.325,1.933,16.997
343,0.000,0.000,0.000,0.073,14.674,0.085,0.145,0.307,0.105,0.874,1.388,16.881
344,0.000,0.000,0.000,0.092,14.639,0.094,0.136,0.404,0.140,1.376,1.945,17.570
345,0.000,0.000,0.000,0.072,13.774,0.093,0.152,0.424,0.065,0.858,1.316,15.982
346,0.000,0.000,0.000,0.078,14.342,0.096,0.150,0.441,0.060,0.842,1.300,16.548
347,0.000,0.000,0.000,0.077,14.607,0.092,0.136,0.349,0.146,0.853,1.356,16.879
348,0.000,0.000,0.000,0.081,14.665,0.123,0.163,0.324,0.132,0.824,1.291,16.863
349,0.000,0.000,0.000,0.079,15.542,0.109,0.143,0.301,0.074,1.317,1.886,18.273
350,0.000,0.000,0.000,0.089,13.432,0.103,0.162,0.438,0.083,1.182,1.978,16.397
351,0.000,0.000,0.000,0.078,14.647,0.096,0.154,0.416,0.063,0.827,1.319,16.869
352,0.000,0.000,0.000,0.075,13.958,0.191,0.173,0.464,0.076,0.795,1.345,16.402
353,0.000,0.000,0.000,0.110,14.550,0.180,0.231,0.536,0.084,1.211,1.842,17.715
354,0.000,0.000,0.000,0.102,15.299,0.102,0.147,0.369,0.071,1.162,1.856,18.090
355,0.000,0.000,0.000,0.087,15.345,0.094,0.150,0.355,0.066,0.961,1.474,17.675
356,0.000,0.000,0.000,0.091,14.952,0.095,0.129,0.325,0.058,0.800,1.304,17.042
357,0.000,0.000,0.000,0.082,14.405,0.086,0.135,0.383,0.090,1.010,1.514,16.776
358,0.000,0.000,0.000,0.075,14.281,0.132,0.201,0.362,0.057,0.802,1.274,16.476
359,0.000,0.000,0.000,0.076,13.546,0.085,0.128,0.559,0.058,0.786,1.287,15.909
360,0.000,0.000,0.000,0.080,17.027,0.231,0.275,0.696,0.095,1.174,1.891,20.479
361,0.000,0.000,0.000,0.087,15.370,0.057,0.252,0.222,0.130,1.402,2.039,18.334
362,0.000,0.000,0.000,1.875,15.315,0.100,0.136,0.318,0.068,0.858,1.394,19.401
363,0.000,0.000,0.000,0.076,13.897,0.092,0.157,0.308,0.055,1.013,1.509,16.176
364,0.000,0.000,0.000,0.078,14.309,0.098,0.134,0.357,0.063,0.911,1.429,16.559
365,0.000,0.000,0.000,0.084,13.777,0.088,0.133,0.275,0.079,1.293,1.937,16.480
366,0.000,0.000,0.000,0.143,14.378,0.092,0.136,0.302,0.066,1.111,3.638,18.851
367,0.000,0.000,0.000,0.088,13.641,0.087,0.134,0.349,0.064,1.011,1.771,16.297
368,0.000,0.000,0.000,0.221,13.936,0.097,0.139,0.403,0.143,0.972,1.519,16.608
369,0.000,0.000,0.000,0.073,14.262,0.127,0.186,0.478,0.057,1.178,1.679,16.985
370,0.000,0.000,0.000,0.083,13.844,0.057,0.155,0.212,0.069,1.004,1.526,16.053
371,0.000,0.000,0.000,0.135,13.327,0.091,0.137,0.355,0.062,1.249,2.042,16.282
372,0.000,0.000,0.000,0.090,13.618,0.093,0.133,0.371,0.063,1.230,1.837,20.055
373,0.000,0.000,0.000,0.073,14.599,0.097,0.129,0.365,0.053,1.134,1.614,17.023
374,0.000,0.000,0.000,0.063,13.411,0.114,0.140,0.320,0.048,0.800,1.221,15.396
375,0.000,0.000,0.000,0.097,13.751,0.097,0.142,0.300,0.055,1.266,1.720,16.306
376,0.000,0.000,0.000,0.091,13.727,0.182,0.146,0.405,0.057,0.808,1.298,15.990
377,0.000,0.000,0.000,0.070,13.508,0.088,0.140,0.351,0.214,0.793,1.268,15.733
378,0.000,0.000,0.000,0.097,13.397,0.089,0.139,0.448,0.053,1.264,1.878,16.179
379,0.000,0.000,0.000,0.076,14.507,0.053,0.177,0.213,0.065,1.355,1.851,17.050
380,0.000,0.000,0.000,0.217,13.630,0.158,0.138,0.332,0.058,1.064,1.587,16.209
381,0.000,0.000,0.000,0.080,13.792,0.086,0.132,0.336,0.058,1.297,2.140,16.744
382,0.000,0.000,0.000,0.079,18.500,0.084,0.153,0.400,0.058,0.810,1.307,20.658
383,0.000,0.000,0.000,0.072,17.434,0.083,0.138,0.329,0.056,0.973,1.517,19.715
384,0.000,0.000,0.000,0.126,15.736,0.094,0.216,0.343,0.100,0.767,1.300,18.235
385,0.000,0.000,0.000,0.123,15.255,0.129,0.164,0.332,0.078,1.269,1.882,18.053
386,0.000,0.000,0.000,0.084,14.822,0.116,0.260,0.531,0.073,0.812,1.329,17.392
387,0.000,0.000,0.000,0.118,13.648,0.098,0.142,0.382,0.061,0.897,1.446,16.056
388,0.000,0.000,0.000,0.077,14.504,0.083,0.129,0.335,0.076,0.777,1.254,16.623
389,0.000,0.000,0.000,0.088,14.439,0.144,0.207,0.343,0.064,0.797,1.328,16.772
390,0.000,0.000,0.000,0.097,16.831,0.088,0.128,0.414,0.059,0.783,1.310,19.014
391,0.000,0.000,0.000,0.076,15.205,0.098,0.164,0.346,0.064,0.878,1.385,17.424
392,0.000,0.000,0.000,0.090,13.603,0.085,0.130,0.302,0.060,0.928,1.453,15.878
393,0.000,0.000,0.000,0.078,14.014,0.045,0.163,0.197,0.054,0.840,1.321,16.004
394,0.000,0.000,0.000,0.076,15.888,0.090,0.181,0.299,0.061,0.825,1.323,18.007
395,0.000,0.000,0.000,0.082,13.723,0.087,0.130,0.250,0.063,1.069,1.728,16.226
396,0.000,0.000,0.000,0.079,14.981,0.123,0.157,0.277,0.058,0.817,1.291,17.166
397,0.000,0.000,0.000,0.104,14.955,0.105,0.144,0.353,0.067,1.240,1.971,17.864
398,0.000,0.000,0.000,0.087,17.211,0.048,0.213,0.215,0.078,0.922,1.444,19.484
399,0.000,0.000,0.000,0.084,16.437,0.089,0.200,0.313,0.061,1.287,1.847,19.129
400,0.000,0.000,0.000,0.161,17.969,0.177,0.220,0.446,0.057,0.829,1.454,20.592
401,0.000,0.000,0.000,0.083,18.243,0.100,0.139,0.444,0.094,0.903,1.473,20.771
402,0.000,0.000,0.000,0.086,13.736,0.093,0.136,0.318,0.057,0.815,1.305,15.830
403,0.000,0.000,0.000,0.085,14.365,0.095,0.129,0.345,0.055,1.021,1.493,16.710
404,0.000,0.000,0.000,0.066,17.668,0.082,0.144,0.342,0.083,0.784,1.235,19.693
405,0.000,0.000,0.000,0.103,16.406,0.119,0.137,0.255,0.110,0.889,1.585,18.941
406,0.000,0.000,0.000,0.075,14.442,0.087,0.225,0.252,0.058,0.857,1.347,16.583
407,0.000,0.000,0.000,0.079,22.656,0.170,0.191,0.335,0.072,1.159,1.684,25.291
408,0.000,0.000,0.000,0.128,14.144,0.116,0.174,0.345,0.065,1.260,2.079,17.173
409,0.000,0.000,0.000,0.077,15.242,0.095,0.146,0.400,0.200,0.902,1.458,17.760
410,0.000,0.000,0.000,0.077,13.783,0.087,0.164,0.329,0.059,1.466,2.306,16.889
411,0.000,0.000,0.000,0.130,15.319,0.118,0.157,0.479,0.071,1.284,1.982,18.350
412,0.000,0.000,0.000,0.082,13.753,0.048,0.244,0.253,0.068,1.115,1.666,16.313
413,0.000,0.000,0.000,0.165,14.750,0.236,0.196,0.467,0.080,1.226,1.979,18.069
414,0.000,0.000,0.000,0.131,13.909,0.100,0.190,0.444,0.062,1.166,1.861,16.798
415,0.000,0.000,0.000,0.121,13.856,0.102,0.189,0.354,0.059,1.223,1.948,16.820
416,0.000,0.000,0.000,0.091,15.775,0.100,0.138,0.362,0.083,1.238,1.833,18.609
417,0.000,0.000,0.000,0.087,13.650,0.100,0.128,0.404,0.063,1.190,1.812,16.348
418,0.000,0.000,0.000,0.074,14.194,0.110,0.202,0.368,0.059,1.097,1.605,16.737
419,0.000,0.000,0.000,0.086,16.050,0.160,0.230,0.372,0.068,1.106,1.652,18.760
420,0.000,0.000,0.000,0.086,13.875,0.115,0.147,0.461,0.077,0.796,1.315,16.252
421,0.000,0.000,0.000,0.085,16.076,0.056,0.191,0.202,0.068,1.251,1.767,18.580
422,0.000,0.000,0.000,0.084,14.077,0.097,0.148,0.343,0.056,0.968,1.536,16.437
423,0.000,0.000,0.000,0.081,14.627,0.109,0.156,0.340,0.072,0.997,1.461,16.989
424,0.000,0.000,0.000,0.076,17.954,0.052,0.187,0.244,0.161,0.842,1.334,20.095
425,0.000,0.000,0.000,0.085,18.017,0.116,0.172,0.330,0.055,1.094,1.622,20.478
426,0.000,0.000,0.000,0.076,15.112,0.096,0.178,0.466,0.056,0.799,1.297,17.361
427,0.000,0.000,0.000,0.107,13.828,0.104,0.154,0.263,0.076,0.933,1.464,16.156
428,0.000,0.000,0.000,0.075,16.302,0.146,0.180,0.426,0.060,1.364,1.853,19.202
429,0.000,0.000,0.000,0.104,14.270,0.228,0.167,0.367,0.079,1.346,1.957,17.387
430,0.000,0.000,0.000,0.098,14.275,0.114,0.157,0.383,0.089,1.242,1.928,17.242
431,0.000,0.000,0.000,0.079,13.938,0.110,0.151,0.499,0.065,0.895,1.384,16.447
432,0.000,0.000,0.000,0.093,13.868,0.142,0.150,0.349,0.100,1.151,1.789,16.686
433,0.000,0.000,0.000,0.088,13.603,0.090,0.194,0.392,0.060,0.859,1.416,15.973
434,0.000,0.000,0.000,0.127,14.042,0.152,0.179,0.440,0.056,1.192,1.921,17.095
435,0.000,0.000,0.000,0.156,13.801,0.095,0.147,0.393,0.076,0.793,1.343,16.127
436,0.000,0.000,0.000,0.092,14.854,0.217,0.200,0.363,0.060,1.050,1.543,17.408
437,0.000,0.000,0.000,0.074,14.971,0.051,0.185,0.205,0.064,0.739,1.265,17.058
438,0.000,0.000,0.000,0.076,14.044,0.095,0.146,0.399,0.068,1.087,1.616,16.533
439,0.000,0.000,0.000,0.108,14.929,0.101,0.165,0.453,0.083,1.269,1.968,17.922
440,0.000,0.000,0.000,0.075,15.736,0.087,0.178,0.346,0.058,1.281,1.801,18.378
441,0.000,0.000,0.000,0.083,16.950,0.143,0.212,0.514,0.085,1.277,1.810,19.943
442,0.000,0.000,0.000,0.084,15.875,0.127,0.155,0.431,0.093,1.247,1.892,18.865
443,0.000,0.000,0.000,0.082,15.086,0.145,0.295,0.350,0.062,0.859,1.431,17.594
444,0.000,0.000,0.000,0.103,13.852,0.105,0.149,0.322,0.091,0.791,1.343,16.069
445,0.000,0.000,0.000,0.080,14.879,0.119,0.148,0.410,0.059,0.779,1.267,17.050
446,0.000,0.000,0.000,0.087,14.087,0.099,0.155,0.623,0.068,1.006,1.603,16.882
447,0.000,0.000,0.000,0.075,14.361,0.094,0.199,0.387,0.097,1.080,1.700,17.163
448,0.000,0.000,0.000,0.082,13.996,0.110,0.179,0.501,0.065,0.882,1.388,16.429
449,0.000,0.000,0.000,0.234,14.080,0.069,0.210,0.312,0.129,1.234,2.000,17.220
450,0.000,0.000,0.000,0.077,13.818,0.090,0.145,0.366,0.076,1.245,1.942,16.621
451,0.000,0.000,0.000,0.082,14.340,0.096,0.170,0.356,0.061,1.213,1.749,16.984
452,0.000,0.000,0.000,0.076,15.857,0.189,0.195,0.395,0.058,0.788,1.248,18.150
453,0.000,0.000,0.000,0.076,13.771,0.085,0.137,0.372,0.061,0.867,1.355,16.020
454,0.000,0.000,0.000,0.100,15.330,0.119,0.152,0.347,0.064,1.250,1.887,18.139
455,0.000,0.000,0.000,0.102,14.595,0.049,0.207,0.189,0.060,0.912,1.426,16.799
456,0.000,0.000,0.000,0.069,16.202,0.104,0.140,0.465,0.061,1.313,1.765,18.890
457,0.000,0.000,0.000,0.102,13.829,0.096,0.148,0.371,0.057,1.226,1.913,16.708
458,0.000,0.000,0.000,0.082,13.802,0.102,0.182,0.389,0.062,1.282,1.792,16.496
459,0.000,0.000,0.000,0.095,14.268,0.214,0.200,0.633,0.060,1.171,1.756,17.359
460,0.000,0.000,0.000,0.192,15.099,0.131,0.171,0.319,0.078,0.969,1.502,17.604
461,0.000,0.000,0.000,0.092,15.513,0.151,0.218,0.465,0.071,0.828,1.397,18.130
462,0.000,0.000,0.000,0.114,13.793,0.087,0.144,0.429,0.058,0.969,1.462,16.260
463,0.000,0.000,0.000,0.075,15.072,0.115,0.157,0.334,0.050,0.813,1.248,17.179
464,0.000,0.000,0.000,0.172,15.892,0.093,0.200,0.322,0.073,0.853,1.443,18.361
465,0.000,0.000,0.000,0.171,15.721,0.134,0.198,0.349,0.065,0.955,1.464,18.259
466,0.000,0.000,0.000,0.083,14.652,0.208,0.178,0.486,0.070,1.054,1.609,17.441
467,0.000,0.000,0.000,0.100,13.723,0.091,0.160,0.418,0.080,1.245,2.025,16.841
468,0.000,0.000,0.000,0.088,13.882,0.088,0.140,0.386,0.059,0.882,1.398,16.122
469,0.000,0.000,0.000,0.082,14.759,0.102,0.234,0.332,0.192,1.250,1.823,17.751
470,0.000,0.000,0.000,0.076,14.649,0.112,0.153,0.477,0.066,0.907,1.425,17.048
471,0.000,0.000,0.000,0.092,18.788,0.150,0.182,0.345,0.061,0.966,1.563,21.316
472,0.000,0.000,0.000,0.072,13.696,0.091,0.143,0.367,0.066,1.213,1.776,16.321
473,0.000,0.000,0.000,0.075,16.472,0.173,0.173,0.508,0.056,0.801,1.351,18.892
474,0.000,0.000,0.000,0.086,15.189,0.112,0.155,0.306,0.076,0.898,1.438,17.483
475,0.000,0.000,0.000,0.106,17.333,0.085,0.147,0.334,0.137,1.121,2.122,20.376
476,0.000,0.000,0.000,0.174,16.569,0.098,0.211,0.353,0.078,0.852,1.449,19.137
477,0.000,0.000,0.000,0.093,14.026,0.087,0.167,0.363,0.114,0.897,1.460,16.413
478,0.000,0.000,0.000,0.067,13.752,0.102,0.149,0.378,0.080,0.780,1.232,15.890
479,0.000,0.000,0.000,0.071,13.615,0.091,0.183,0.519,0.060,0.917,1.430,16.114
480,0.000,0.000,0.000,0.088,15.479,0.052,0.211,0.216,0.059,1.125,1.654,17.854
481,0.000,0.000,0.000,0.094,13.705,0.103,0.143,0.269,0.086,1.273,1.953,16.500
482,0.000,0.000,0.000,0.084,15.420,0.083,0.157,0.285,0.112,1.309,2.068,18.362
483,0.000,0.000,0.000,0.072,17.285,0.135,0.164,0.324,0.058,0.948,1.394,19.509
484,0.000,0.000,0.000,0.076,17.743,0.101,0.153,0.307,0.173,1.327,1.793,20.445
485,0.000,0.000,0.000,0.083,16.340,0.205,0.176,0.527,0.158,0.802,1.395,19.089
